FIPS,State,County,Population 2019,Avg Daily Mortality 2019,Length of Life (quartile),Quality of Life (quartile),Health Behaviors (quartile),Clinical Care (quartile),Social & Economic Factors (quartile),Physical Environment (quartile),Mask Wearing Prevalence,COVID Cases to Date,COVID Deaths to Date
1001,Alabama,Autauga,55869.0,1.7,1.0,1.0,1.0,1.0,1.0,4.0,0.74,1498.0,24.0
1003,Alabama,Baldwin,223234.0,6.3,1.0,1.0,1.0,1.0,1.0,1.0,0.76,4713.0,46.0
1005,Alabama,Barbour,24686.0,0.7,2.0,4.0,4.0,3.0,4.0,2.0,0.69,777.0,7.0
1007,Alabama,Bibb,22394.0,0.7,3.0,1.0,2.0,2.0,3.0,2.0,0.85,581.0,9.0
1009,Alabama,Blount,57826.0,1.8,3.0,1.0,1.0,3.0,1.0,3.0,0.65,1379.0,12.0
1011,Alabama,Bullock,10101.0,0.3,3.0,4.0,4.0,4.0,4.0,2.0,0.79,568.0,14.0
1013,Alabama,Butler,19448.0,0.6,4.0,4.0,4.0,4.0,4.0,3.0,0.59,890.0,38.0
1015,Alabama,Calhoun,113605.0,3.5,4.0,2.0,3.0,3.0,2.0,3.0,0.61,2842.0,39.0
1017,Alabama,Chambers,33254.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.70,1061.0,41.0
1019,Alabama,Cherokee,26196.0,0.6,4.0,1.0,1.0,2.0,2.0,2.0,0.68,450.0,12.0
1021,Alabama,Chilton,44428.0,1.5,2.0,1.0,2.0,4.0,2.0,2.0,0.81,1289.0,16.0
1023,Alabama,Choctaw,12589.0,0.4,4.0,3.0,3.0,2.0,4.0,2.0,0.79,334.0,12.0
1025,Alabama,Clarke,23622.0,0.7,3.0,4.0,3.0,3.0,4.0,1.0,0.70,1020.0,14.0
1027,Alabama,Clay,13235.0,0.4,2.0,2.0,3.0,3.0,3.0,4.0,0.50,420.0,6.0
1029,Alabama,Cleburne,14910.0,0.5,3.0,1.0,2.0,4.0,2.0,1.0,0.59,244.0,5.0
1031,Alabama,Coffee,52342.0,1.6,1.0,1.0,1.0,1.0,1.0,1.0,0.65,1138.0,7.0
1033,Alabama,Colbert,55241.0,1.7,2.0,1.0,1.0,1.0,1.0,3.0,0.67,1509.0,22.0
1035,Alabama,Conecuh,12067.0,0.3,2.0,4.0,4.0,4.0,4.0,2.0,0.59,496.0,11.0
1037,Alabama,Coosa,10663.0,0.2,4.0,4.0,3.0,3.0,3.0,4.0,0.65,141.0,3.0
1039,Alabama,Covington,37049.0,1.1,3.0,2.0,2.0,4.0,2.0,1.0,0.56,1185.0,27.0
1041,Alabama,Crenshaw,13772.0,0.4,2.0,2.0,3.0,4.0,3.0,1.0,0.65,481.0,32.0
1043,Alabama,Cullman,83768.0,2.7,2.0,1.0,2.0,2.0,1.0,3.0,0.60,1692.0,17.0
1045,Alabama,Dale,49172.0,1.8,2.0,2.0,3.0,1.0,2.0,1.0,0.68,1161.0,42.0
1047,Alabama,Dallas,37196.0,1.2,4.0,4.0,4.0,2.0,4.0,4.0,0.65,1668.0,26.0
1049,Alabama,DeKalb,71513.0,2.2,2.0,3.0,2.0,4.0,2.0,1.0,0.76,2221.0,18.0
1051,Alabama,Elmore,81209.0,2.6,1.0,1.0,1.0,1.0,1.0,4.0,0.74,2312.0,47.0
1053,Alabama,Escambia,36633.0,1.2,4.0,3.0,4.0,4.0,4.0,2.0,0.67,1461.0,22.0
1055,Alabama,Etowah,102268.0,3.2,3.0,2.0,2.0,3.0,2.0,2.0,0.62,3056.0,43.0
1057,Alabama,Fayette,16302.0,0.5,1.0,3.0,2.0,1.0,3.0,4.0,0.66,348.0,6.0
1059,Alabama,Franklin,31362.0,1.2,2.0,3.0,2.0,4.0,2.0,1.0,0.64,1621.0,27.0
1061,Alabama,Geneva,26271.0,0.8,3.0,2.0,3.0,4.0,3.0,1.0,0.60,472.0,4.0
1063,Alabama,Greene,8111.0,0.3,3.0,4.0,4.0,4.0,4.0,2.0,0.79,292.0,15.0
1065,Alabama,Hale,14651.0,0.5,4.0,4.0,4.0,4.0,4.0,4.0,0.83,570.0,28.0
1067,Alabama,Henry,17205.0,0.5,1.0,2.0,2.0,2.0,1.0,1.0,0.70,409.0,4.0
1069,Alabama,Houston,105882.0,3.6,1.0,2.0,2.0,1.0,2.0,2.0,0.70,2262.0,20.0
1071,Alabama,Jackson,51626.0,1.5,3.0,2.0,2.0,2.0,3.0,1.0,0.71,1372.0,9.0
1073,Alabama,Jefferson,658573.0,23.1,2.0,2.0,1.0,1.0,2.0,4.0,0.81,17276.0,312.0
1075,Alabama,Lamar,13805.0,0.4,3.0,3.0,2.0,2.0,1.0,1.0,0.72,303.0,2.0
1077,Alabama,Lauderdale,92729.0,2.4,1.0,2.0,1.0,1.0,1.0,2.0,0.65,1502.0,26.0
1079,Alabama,Lawrence,32924.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,0.67,520.0,5.0
1081,Alabama,Lee,164542.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,0.75,5123.0,58.0
1083,Alabama,Limestone,98915.0,2.8,1.0,1.0,1.0,1.0,1.0,3.0,0.73,1759.0,19.0
1085,Alabama,Lowndes,9726.0,0.3,4.0,4.0,4.0,3.0,4.0,4.0,0.66,629.0,27.0
1087,Alabama,Macon,18068.0,0.5,4.0,4.0,4.0,3.0,4.0,4.0,0.72,453.0,19.0
1089,Alabama,Madison,372909.0,11.6,1.0,1.0,1.0,1.0,1.0,3.0,0.77,6850.0,64.0
1091,Alabama,Marengo,18863.0,0.6,4.0,4.0,3.0,2.0,4.0,3.0,0.70,667.0,19.0
1093,Alabama,Marion,29709.0,0.8,3.0,2.0,2.0,4.0,2.0,3.0,0.56,826.0,28.0
1095,Alabama,Marshall,96774.0,3.8,2.0,2.0,3.0,3.0,2.0,3.0,0.73,3660.0,42.0
1097,Alabama,Mobile,413210.0,14.9,2.0,3.0,3.0,2.0,3.0,4.0,0.75,12559.0,271.0
1099,Alabama,Monroe,20733.0,0.5,4.0,4.0,4.0,3.0,4.0,2.0,0.67,552.0,7.0
